r_reco_mm,merged_smooth_bias_r_rec_minus_r_true_mm
3355.8279139569786,-23.090024837483657
3364.6823411705855,-23.04641266339115
3373.5367683841923,-23.001945435489894
3382.391195597799,-22.95662989898153
3391.245622811406,-22.91047279906768
3400.1000500250125,-22.86348088095001
3408.9544772386193,-22.81566088983014
3417.808904452226,-22.767019570909703
3426.663331665833,-22.717563669390355
3435.51775887944,-22.66729993047372
3444.372186093047,-22.616235099361443
3453.2266133066532,-22.564375921255156
3462.0810405202606,-22.511729141356497
3470.935467733867,-22.458301504867112
3479.7898949474743,-22.404099756988632
3488.6443221610807,-22.34913064292269
3497.4987493746876,-22.293400907870943
3506.3531765882944,-22.236917297035006
3515.2076038019013,-22.179686555616534
3524.0620310155077,-22.121715428817154
3532.9164582291146,-22.063010661838508
3541.7708854427215,-22.003578999882237
3550.6253126563283,-21.943427188149972
3559.479739869935,-21.88256197184336
3568.3341670835416,-21.820990096164035
3577.188594297149,-21.758718306313625
3586.0430215107554,-21.695753347493778
3594.8974487243627,-21.632101964906134
3603.751875937969,-21.567770903752326
3612.606303151576,-21.502766909234
3621.460730365183,-21.437096726552777
3630.3151575787897,-21.37076710091031
3639.1695847923966,-21.30378477750823
3648.0240120060034,-21.23615650154818
3656.87843921961,-21.167889018231794
3665.732866433217,-21.09898907276071
3674.5872936468236,-21.029463410336565
3683.44172086043,-20.959318776161002
3692.2961480740373,-20.888561915435655
3701.1505752876437,-20.81719957336216
3710.005002501251,-20.74523849514216
3718.8594297148575,-20.672685425977292
3727.7138569284643,-20.599547111069192
3736.568284142071,-20.525830295619492
3745.422711355678,-20.45154172482984
3754.277138569285,-20.37668814390187
3763.131565782892,-20.30127629803722
3771.985992996498,-20.22531293243753
3780.8404202101055,-20.148804792304432
3789.694847423712,-20.07175862283957
3798.5492746373193,-19.994181169244577
3807.4037018509257,-19.916079176721095
3816.258129064532,-19.837459390470762
3825.1125562781394,-19.758328555695215
3833.966983491746,-19.67869341759609
3842.821410705353,-19.59856072137502
3851.6758379189596,-19.517937212233658
3860.5302651325665,-19.436829635373634
3869.3846923461733,-19.35524473599658
3878.23911955978,-19.273189259304132
3887.0935467733866,-19.19066995049795
3895.947973986994,-19.10769355477964
3904.8024012006003,-19.024266817350874
3913.6568284142077,-18.94039648341326
3922.511255627814,-18.856089298168452
3931.365682841421,-18.771352006818088
3940.220110055028,-18.6861913545638
3949.0745372686342,-18.600614086607226
3957.9289644822416,-18.514626948150006
3966.783391695848,-18.428236684393777
3975.637818909455,-18.341450040540185
3984.4922461230617,-18.254273761790856
3993.3466733366686,-18.166714593347432
4002.201100550275,-18.07877928041156
4011.0555277638823,-17.990474568184855
4019.909954977489,-17.901807201868976
4028.7643821910956,-17.812783926665563
4037.6188094047025,-17.723411487776232
4046.47323661831,-17.633696630402635
4055.3276638319157,-17.543646099746425
4064.182091045523,-17.453266641009208
4073.03651825913,-17.36256499939264
4081.890945472737,-17.271547920098357
4090.745372686343,-17.180222148328003
4099.59979989995,-17.08859442928321
4108.454227113557,-16.99667150816561
4117.308654327164,-16.904460130176854
4126.163081540771,-16.811967040518564
4135.017508754378,-16.71919898439239
4143.8719359679835,-16.626162706999974
4152.726363181591,-16.532864953542934
4161.580790395198,-16.439312469222926
4170.435217608804,-16.345511999241584
4179.289644822411,-16.25147028880054
4188.144072036019,-16.15719408310143
4196.998499249626,-16.062690127345903
4205.852926463232,-15.9679651667356
4214.7073536768385,-15.873025946472143
4223.561780890445,-15.777879211757176
4232.416208104052,-15.682531707792348
4241.270635317659,-15.586990179779276
4250.125062531266,-15.491261372919618
4258.979489744872,-15.395352032415001
4267.83391695848,-15.299268903467059
4276.6883441720865,-15.203018731277442
4285.542771385693,-15.106608261047779
4294.397198599299,-15.010044237979722
4303.251625812907,-14.913333407274886
4312.106053026514,-14.816482514134922
4320.96048024012,-14.719498303761473
4329.814907453727,-14.62238752135616
4338.669334667335,-14.525156912120638
4347.523761880941,-14.427813221256544
4356.378189094547,-14.3303631939655
4365.232616308154,-14.232813575449155
4374.08704352176,-14.135171110909159
4382.941470735368,-14.037442545547126
4391.795897948975,-13.939634624564704
4400.650325162582,-13.841754093163532
4409.504752376188,-13.74380769654526
4418.3591795897955,-13.6458021799115
4427.213606803402,-13.547744288463907
4436.068034017008,-13.449640767404121
4444.922461230615,-13.351498361933771
4453.776888444223,-13.253323817254495
4462.631315657829,-13.155123878567943
4471.485742871436,-13.056905291075738
4480.340170085043,-12.958674799979523
4489.19459729865,-12.860439150480934
4498.049024512256,-12.762205087781624
4506.903451725863,-12.663979357083207
4515.75787893947,-12.565768703587343
4524.612306153076,-12.46757987249566
4533.466733366684,-12.369419609009787
4542.321160580291,-12.27129465833137
4551.175587793897,-12.17321176566206
4560.030015007504,-12.07517767620347
4568.884442221111,-11.977199135157255
4577.738869434717,-11.87928288772505
4586.593296648324,-11.78143567910849
4595.447723861931,-11.68366425450921
4604.302151075539,-11.585975359128856
4613.156578289145,-11.488375738169065
4622.011005502752,-11.390872136831469
4630.865432716359,-11.293471300317705
4639.7198599299645,-11.196179973829423
4648.574287143572,-11.099004902568248
4657.428714357179,-11.001952831735814
4666.283141570785,-10.905030506533787
4675.137568784392,-10.808244672163767
4683.991995998,-10.711602073827416
4692.846423211607,-10.615109456726362
4701.700850425213,-10.518773566062265
